Sl no,Date,Description Of Work,Unit,Measurements in Meter,,,Qty,Steel Stack,,,Cement Stack,,,Remarks
,,,,Length,Width,Thickness,,Open,Consumption,Balance,Open,Consumption,Balance, 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 ,12/4/2025,Single Vent Culvert PCC,cum,13,2.4,0.1,3.1, , , ,760,11,749, 
 , , , , , , , , , , , , , , 
 ,14-04-2025,GSB laying,cum,250,4,0.1,100, , , , , , ,7 load GSB Received From SVE
 ,,Single Vent Culvert Raft steel Work, , , , , , , , , , , , 
 ,,Shoulder work,cum,160, , , , , , , , , , 
 , , , , , , , , , , , , , , 
 ,15-04-2025,Wetmix Laying,cum,160,3.6,0.15,86.4, , , , , , ,5 load WMM Received From SMM
 , ,Single Vent raft concrete,cum,12.5,2.3,0.3,8.6, , , , , , , 
 , ,Return wall Raft Concrete,cum,1.2*4,1.2,0.1,0.6, , , ,749,44,705, 
 , , , , , , , , , , , , , , 
 ,16-04-2025,Shoulder Work,cum,120*2,1.5,0.08,28.8, , , , , , , 
 ,,Culvert shettering work is progress, , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 ,17-04-2025,Single Vent Culvert Wall 1st Lift concrete,cum,12.5*2,0.3,0.8,6, , , , , , , 
 ,,Return wall,cum,1.2*4,0.3,0.8,1.2, , , ,705,37,668, 
 , , , , , , , , , , , , , , 
 ,18-04-2025,Wetmix laying,cum,120,3.6,0.15,64.8, , , , , , , 
 ,,Single Vent Culvertv Wall 2nd Lift concrete,cum,12.5*2,0.3,0.8,6, , , , , , ,4 load WMM From SVE
 ,,Return wall,cum,1.2*4,0.3,0.8,1.2, , , ,668,35,633,1 load m-sand & 1 load 20mm From SVE
 , , , , , , , , , , , , , , 
 ,19-04-2025,1 laod wet mix , , , , , , , , , , , , 
 ,,Soulder , ,380,1, , , , , , , , , 
 ,,wetmix laying , ,355,3.5,0.15, , , , , , , ,11 load received from SVE
 , , , , , , , , , , , , , , 
 ,20-04-2025,rolling , , , , , , , , , , , , 
 ,,Curing , , , , , , , , , , , , 
 ,,Road diversion  & Shoulder laying , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 ,21-04-2025,water tanker 1 Load , , , , , , , , , , , , 
 ,,Return wall ,cum ,1.5*4,0.3,0.35,0.6, , , , ,, , 
 ,,Slab concrete  1st Culvert ,cum,12.5,2.1,0.3,7.9, , , ,633,48,585, 
 ,,Wet mix Laying ,cum,245,3.6,0.15,132.3, , , , , , ,8 Load wetmix recived - SVE 
 ,, , , , , , , , , , , , , 
 ,,"
540 M Shoulder done", , , , , , , , , , , , 
 ,22-04-2025,Wet mix Laying , ,124,3.6,0.15,2.6, , , , , , , 
 ,,parapet wall concrete , ,2.2,0.8,0.3,1.2, , , ,585,8,577, 
 ,,Gravel for road diversion 15 load , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 ,23-04-2025,1st Culvert watering, , , , , , , , , , , , 
 ,,2nd Culvert diversion Road is Progress, , , , , , , , , , , , 
 ,, , , , , , , , , , , , , 
 ,24-04-2025, , , , , , , , , , , , , 
 ,,1 Msand & 20Mm, , , , , , , , , , , , 
 ,, , , , , , , , , , , , , 
 ,25-04-2025,Wet mix , ,212,3.6,0.15,228.96, , , ,,,, 
 ,, , , , , , , , , , , , , 
 ,, , , , , , , , , , , , , 
 ,26-04-2025,7 Load wet mix , , , , , , , , , , , , 
 ,,Wet mix Laying , ,211,3.6,0.15, , , , , , , , 
 ,, , , , , , , , , , , , , 
 ,27-04-2025,nowork , , , , , , , , , , , , 
 ,, , , , , , , , , , , , , 
 ,, , , , , , , , , , , , , 
 ,28-04-2025,GSB laying , ,228,4.5,0.1, , , , , , , , 
 ,,Scarifying 100 m , , , , , , , , , , , , 
 ,,7 Load wet mix , , , , , , , , , , , , 
 ,29-04-2025,7 Load wet mix , , , , , , , , , ,150, ,Shiftied to Karkur 
 ,,GSB, ,126,9,0.1, , , , , , , , 
 ,, , , , , , , , , , , , , 
